,alias,dateCreate,productID,shopID,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD,soldPerViewRatio,productRevenue
2384,shanikah-belted-linen-midi-skirt-baby-blue,2021-04-26T01:19:11+07:00,1795521421,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/shanikah-belted-linen-midi-skirt-baby-blue,False,0,False,False,False,26313179,Bottoms,https://www.tokopedia.com/lovebonitoid/etalase/bottoms,3009,Rok Wanita,Rok Wanita,https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/rok-wanita,False,False,0,"['1758', '2993', '3009']","['Fashion Wanita', 'Bawahan Wanita', 'Rok Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/bawahan-wanita/rok-wanita']",4,0,4,4,4,745,1,0,5.0,Shanikah Belted Linen Midi Skirt - Baby Blue,599000,IDR,True,0,True,True,0.005369127516778523,2396000
2385,marciella-textured-a-line-dress-sage,2021-04-26T01:08:14+07:00,1795504313,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/marciella-textured-a-line-dress-sage,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",2,0,2,3,2,512,0,0,0.0,Marciella Textured A-line Dress - Sage,619000,IDR,True,0,True,True,0.00390625,1238000
2386,marcella-relaxed-midi-dress-sage,2021-04-24T22:52:13+07:00,1793347447,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/marcella-relaxed-midi-dress-sage,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",3,0,3,3,3,592,0,0,0.0,Marcella Relaxed Midi Dress - Sage,579000,IDR,True,0,True,True,0.005067567567567568,1737000
2387,marcella-relaxed-midi-dress-taupe,2021-04-24T22:51:58+07:00,1793347171,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/marcella-relaxed-midi-dress-taupe,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",3,0,3,3,3,519,0,0,0.0,Marcella Relaxed Midi Dress - Taupe,579000,IDR,True,0,True,True,0.005780346820809248,1737000
2388,marci-utilitarian-panelled-coat-khaki,2021-04-24T22:37:35+07:00,1793321005,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/marci-utilitarian-panelled-coat-khaki,False,0,False,False,False,26313242,Outerwear,https://www.tokopedia.com/lovebonitoid/etalase/outerwear,1811,Coat Wanita,Coat Wanita,https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/coat-wanita,False,False,0,"['1758', '1796', '1811']","['Fashion Wanita', 'Outerwear Wanita', 'Coat Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita', 'https://www.tokopedia.com/p/fashion-wanita/outerwear-wanita/coat-wanita']",2,0,2,2,2,634,2,0,5.0,Marci Utilitarian Panelled Coat - Khaki,719000,IDR,True,0,True,True,0.0031545741324921135,1438000
2389,jiniya-textured-ruffle-midi-dress-baby-blue,2021-04-24T22:06:59+07:00,1793264539,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/jiniya-textured-ruffle-midi-dress-baby-blue,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",8,0,8,8,8,1347,5,0,4.6,Jiniya Textured Ruffle Midi Dress - Baby Blue,679000,IDR,True,0,True,True,0.005939123979213066,5432000
2390,jiniya-textured-ruffle-midi-dress-black,2021-04-24T22:06:39+07:00,1793263866,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/jiniya-textured-ruffle-midi-dress-black,False,0,False,False,False,32564306,Best Sellers,https://www.tokopedia.com/lovebonitoid/etalase/best-sellers,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",15,0,16,15,16,1587,9,0,0.0,Jiniya Textured Ruffle Midi Dress - Black,679000,IDR,True,0,True,True,0.010081915563957152,10864000
2391,alexandra-textured-crossback-midi-dress-black,2021-04-24T21:49:17+07:00,1793230254,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/alexandra-textured-crossback-midi-dress-black,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1764,Midi Dress,Midi Dress,https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress,False,False,0,"['1758', '1762', '1764']","['Fashion Wanita', 'Dress', 'Midi Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/midi-dress']",5,0,5,6,5,698,2,0,5.0,Alexandra Textured Crossback Midi Dress - Black,679000,IDR,True,0,True,True,0.0071633237822349575,3395000
2392,abi-tweed-shift-dress-navy-blue,2021-04-24T21:12:43+07:00,1793158010,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/abi-tweed-shift-dress-navy-blue,False,0,False,False,False,26309933,Dresses,https://www.tokopedia.com/lovebonitoid/etalase/dresses,1763,Mini Dress,Mini Dress,https://www.tokopedia.com/p/fashion-wanita/dress/mini-dress,False,False,0,"['1758', '1762', '1763']","['Fashion Wanita', 'Dress', 'Mini Dress']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/dress', 'https://www.tokopedia.com/p/fashion-wanita/dress/mini-dress']",1,0,1,1,1,532,0,0,0.0,Abi Tweed Shift Dress - Navy Blue,679000,IDR,True,0,True,True,0.0018796992481203006,679000
2393,love-bonito-jaiyana-pleated-puff-sleeve-string-tie-blouse-black,2021-04-24T20:56:38+07:00,1793122154,9633142,"Love, Bonito Indonesia",1,0,500,GRAM,NEW,WAREHOUSE,https://www.tokopedia.com/lovebonitoid/love-bonito-jaiyana-pleated-puff-sleeve-string-tie-blouse-black,False,0,False,False,False,26309929,Tops,https://www.tokopedia.com/lovebonitoid/etalase/tops,1771,Blouse Wanita,Blouse Wanita,https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/blouse-wanita,False,False,0,"['1758', '1768', '1771']","['Fashion Wanita', 'Atasan Wanita', 'Blouse Wanita']","['https://www.tokopedia.com/p/fashion-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita', 'https://www.tokopedia.com/p/fashion-wanita/atasan-wanita/blouse-wanita']",1,0,1,2,1,274,1,0,5.0,"Love, Bonito - Jaiyana Pleated Puff Sleeve String Tie Blouse - Black",519000,IDR,True,0,True,True,0.0036496350364963502,519000
